id,run_name,input_path,output_path,excution_time
30.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:38:48
31.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:44:13
32.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:45:11
33.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:46:56
34.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:48:24
35.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:50:04
36.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:51:56
37.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 16:57:54
38.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 17:00:10
39.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 17:04:13
40.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 17:08:44
41.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 17:11:00
42.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 17:22:23
43.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 19:52:46
44.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:05:41
45.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:08:39
46.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:12:21
47.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:14:01
48.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:16:23
49.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:19:49
50.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:21:22
51.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:23:17
52.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:26:01
53.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:29:03
54.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:35:23
55.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:38:50
56.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:40:27
57.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:52:07
58.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,04/02/2021 23:57:22
59.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 11:25:41
60.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 11:30:24
61.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 11:34:50
62.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 11:35:46
63.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 11:36:42
64.0,test2,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\resources,C:\Users\talz\OneDrive\Documents\Yair\greenennesis\MC-REP-Analysis\data\results,05/02/2021 11:39:50
